Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,2-1,4-0,2-1,2-2,3-1,2-0,1-1,3-1,1-1,2-0,3-0,2-0,1-1,1-1,4-0,3-1,2-0,1-1,2-1,1-1,3-1,3-1,2-0,2-0,2-0,0-2,1-3,2-0,3-1
2,Boston Celtics,1-2,,3-1,1-3,2-2,2-2,0-2,2-0,2-1,0-2,0-2,3-1,0-2,1-1,1-1,1-3,1-2,1-1,2-0,3-1,0-2,2-2,4-0,1-1,1-1,1-1,0-2,2-2,2-0,1-2
3,Brooklyn Nets,0-4,1-3,,1-3,2-1,1-3,1-1,2-0,2-1,1-1,0-2,2-1,1-1,2-0,0-2,0-4,1-3,1-1,0-2,4-0,2-0,3-0,3-1,0-2,1-1,2-0,1-1,2-2,0-2,2-2
4,Chicago Bulls,1-2,3-1,3-1,,2-2,1-3,1-1,1-1,2-2,1-1,1-1,2-2,1-1,1-1,1-1,2-1,3-1,2-0,2-0,3-0,1-1,2-2,3-0,1-1,1-1,1-1,1-1,4-0,1-1,2-2
5,Charlotte Hornets,2-2,2-2,1-2,2-2,,0-3,0-2,2-0,2-2,0-2,0-2,1-3,0-2,1-1,0-2,2-2,2-1,2-0,1-1,3-1,0-2,2-2,2-1,1-1,0-2,0-2,0-2,2-2,1-1,2-2
6,Cleveland Cavaliers,1-3,2-2,3-1,3-1,3-0,,1-1,1-1,3-1,1-1,0-2,2-2,2-0,2-0,2-0,2-2,3-1,2-0,1-1,2-1,1-1,3-0,2-1,1-1,1-1,1-1,1-1,3-1,1-1,3-1
7,Dallas Mavericks,0-2,2-0,1-1,1-1,2-0,1-1,,2-1,1-1,0-4,1-3,0-2,1-2,4-0,1-3,1-1,2-0,3-0,3-1,2-0,3-1,2-0,2-0,1-3,2-2,3-0,2-2,2-0,3-1,2-0
8,Denver Nuggets,1-1,0-2,0-2,1-1,0-2,1-1,1-2,,1-1,1-2,0-4,2-0,1-3,3-1,1-2,1-1,1-1,3-1,3-1,1-1,1-3,2-0,0-2,1-2,0-4,2-2,0-4,0-2,2-2,0-2
9,Detroit Pistons,1-3,1-2,1-2,2-2,2-2,1-3,1-1,1-1,,0-2,1-1,2-2,0-2,0-2,1-1,2-1,1-3,0-2,0-2,3-1,1-1,3-1,1-3,1-1,0-2,2-0,1-1,2-2,0-2,1-2
10,Golden State Warriors,1-1,2-0,1-1,1-1,2-0,1-1,4-0,2-1,2-0,,4-0,1-1,3-1,3-1,2-1,2-0,2-0,4-0,3-1,2-0,3-1,2-0,2-0,3-1,3-0,4-0,1-2,2-0,3-1,2-0
11,Houston Rockets,0-2,2-0,2-0,1-1,2-0,2-0,3-1,4-0,1-1,0-4,,2-0,2-2,2-1,2-2,2-0,2-0,4-0,2-2,2-0,3-0,1-1,2-0,3-1,1-2,3-0,1-3,1-1,3-1,1-1
12,Indiana Pacers,0-3,1-3,1-2,2-2,3-1,2-2,2-0,0-2,2-2,1-1,0-2,,0-2,1-1,0-2,3-1,2-2,1-1,2-0,4-0,1-1,3-0,3-1,0-2,0-2,0-2,0-2,0-3,2-0,2-2
13,Los Angeles Clippers,0-2,2-0,1-1,1-1,2-0,0-2,2-1,3-1,2-0,1-3,2-2,2-0,,4-0,2-2,1-1,1-1,3-0,2-1,2-0,2-1,2-0,2-0,4-0,3-1,3-1,2-2,0-2,4-0,1-1
14,Los Angeles Lakers,1-1,1-1,0-2,1-1,1-1,0-2,0-4,1-3,2-0,1-3,1-2,1-1,0-4,,0-4,0-2,1-1,3-1,0-4,0-2,0-3,1-1,2-0,0-4,0-4,1-3,1-2,1-1,1-2,0-2
15,Memphis Grizzlies,1-1,1-1,2-0,1-1,2-0,0-2,3-1,2-1,1-1,1-2,2-2,2-0,2-2,4-0,,2-0,1-1,2-1,2-2,2-0,3-1,2-0,2-0,3-0,4-0,3-1,2-2,1-1,2-2,0-2
