Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19705,.446,13.6,,.637,.279,.131,.105,.122,.363,,.495,.635,.351,.399,.411,.360,,.520,.869,,.052,309,,.288,1064,,.243,.426,,22,0
2,Boston Celtics*,82,19805,.450,13.7,,.643,.259,.158,.106,.120,.357,,.491,.628,.364,.419,.426,.377,,.490,.813,,.047,274,,.261,935,,.213,.408,,18,0
3,Brooklyn Nets,82,19855,.441,13.7,,.589,.269,.175,.083,.062,.411,,.500,.643,.379,.399,.354,.356,,.507,.844,,.043,269,,.287,1098,,.201,.376,,13,1
4,Chicago Bulls,82,19855,.435,13.6,,.650,.254,.165,.095,.135,.350,,.478,.624,.390,.388,.377,.355,,.510,.848,,.039,261,,.250,942,,.184,.372,,15,0
5,Charlotte Hornets,82,19780,.450,13.2,,.686,.273,.160,.114,.138,.314,,.487,.642,.380,.408,.370,.369,,.484,.756,,.046,300,,.268,1029,,.154,.369,,22,1
6,Cleveland Cavaliers*,82,19730,.476,13.8,,.621,.297,.113,.092,.119,.379,,.540,.706,.368,.413,.387,.372,,.478,.819,,.051,319,,.269,1163,,.252,.417,,13,0
7,Dallas Mavericks,82,19805,.444,14.4,,.618,.241,.135,.105,.137,.382,,.496,.652,.400,.385,.405,.360,,.491,.824,,.048,295,,.222,850,,.169,.416,,20,0
8,Denver Nuggets,82,19880,.470,12.8,,.643,.275,.204,.090,.074,.357,,.525,.664,.424,.441,.391,.371,,.526,.848,,.055,356,,.302,1157,,.167,.417,,26,0
9,Detroit Pistons,82,19805,.450,13.1,,.667,.260,.185,.107,.116,.333,,.488,.657,.346,.433,.388,.373,,.465,.889,,.044,271,,.280,1047,,.227,.392,,19,1
10,Golden State Warriors*,82,19730,.503,14.0,,.661,.267,.111,.139,.144,.339,,.560,.708,.424,.485,.463,.391,,.643,.801,,.071,454,,.229,952,,.158,.405,,26,0
11,Houston Rockets*,82,19755,.460,15.0,,.498,.288,.103,.062,.044,.502,,.558,.669,.369,.452,.430,.362,,.470,.689,,.062,392,,.261,1004,,.227,.401,,17,1
12,Indiana Pacers*,82,19755,.472,13.0,,.716,.293,.136,.096,.191,.284,,.513,.638,.420,.449,.422,.369,,.465,.819,,.041,250,,.294,1168,,.220,.425,,21,0
13,Los Angeles Clippers,82,19705,.471,11.8,,.686,.347,.164,.083,.091,.314,,.525,.659,.378,.424,.378,.354,,.502,.726,,.082,512,,.301,1153,,.219,.338,,15,1
14,Los Angeles Lakers,82,19905,.461,12.4,,.671,.321,.168,.087,.096,.329,,.517,.670,.390,.352,.378,.345,,.492,.865,,.059,385,,.299,1253,,.159,.372,,17,0
15,Memphis Grizzlies,82,19705,.444,12.8,,.683,.312,.139,.100,.132,.317,,.486,.620,.352,.372,.398,.352,,.510,.815,,.049,296,,.304,1087,,.189,.350,,26,0
16,Miami Heat*,82,19930,.455,13.2,,.642,.279,.163,.095,.104,.358,,.508,.658,.416,.381,.367,.360,,.457,.908,,.053,336,,.268,1067,,.256,.388,,18,0
17,Milwaukee Bucks*,82,19830,.478,12.4,,.703,.310,.152,.114,.127,.297,,.531,.685,.373,.463,.406,.355,,.501,.883,,.068,419,,.279,1065,,.263,.405,,12,0
18,Minnesota Timberwolves*,82,19805,.476,12.3,,.739,.264,.196,.129,.150,.261,,.519,.690,.433,.432,.403,.357,,.487,.825,,.053,343,,.255,1029,,.226,.403,,12,0
19,New Orleans Pelicans*,82,19955,.483,12.5,,.681,.295,.179,.099,.109,.319,,.540,.667,.475,.441,.396,.362,,.549,.876,,.054,362,,.307,1294,,.233,.399,,14,0
20,New York Knicks,82,19830,.464,12.7,,.734,.278,.156,.140,.159,.266,,.504,.656,.398,.442,.399,.352,,.499,.869,,.040,259,,.276,1119,,.194,.406,,20,0
21,Oklahoma City Thunder*,82,19830,.453,13.2,,.655,.315,.096,.105,.138,.345,,.505,.639,.367,.404,.375,.354,,.426,.831,,.067,408,,.272,1082,,.239,.372,,21,0
22,Orlando Magic,82,19730,.452,13.3,,.658,.259,.180,.108,.112,.342,,.504,.688,.398,.347,.403,.351,,.515,.851,,.052,335,,.272,1088,,.178,.374,,8,0
23,Philadelphia 76ers*,82,19780,.472,13.3,,.656,.272,.168,.109,.107,.344,,.526,.702,.401,.383,.421,.369,,.556,.954,,.060,386,,.270,1105,,.151,.397,,20,0
24,Phoenix Suns,82,19705,.442,12.5,,.680,.313,.145,.115,.107,.320,,.492,.618,.387,.399,.369,.334,,.467,.823,,.063,387,,.293,1079,,.209,.366,,16,0
25,Portland Trail Blazers*,82,19755,.452,13.0,,.676,.283,.155,.111,.127,.324,,.493,.609,.383,.434,.418,.366,,.416,.721,,.039,246,,.266,998,,.175,.386,,4,0
26,Sacramento Kings,82,19755,.450,12.9,,.722,.242,.205,.115,.159,.278,,.479,.642,.395,.385,.407,.375,,.477,.817,,.045,290,,.248,907,,.200,.409,,25,0
27,San Antonio Spurs*,82,19730,.457,12.7,,.718,.261,.169,.143,.144,.282,,.499,.660,.406,.416,.400,.352,,.497,.897,,.031,192,,.264,1080,,.235,.400,,16,0
28,Toronto Raptors*,82,19830,.472,13.2,,.623,.291,.160,.098,.074,.377,,.541,.681,.414,.428,.419,.358,,.499,.816,,.050,338,,.272,1114,,.243,.396,,19,1
29,Utah Jazz*,82,19755,.462,13.2,,.643,.284,.151,.100,.108,.357,,.515,.674,.370,.398,.408,.366,,.500,.805,,.069,434,,.273,994,,.268,.418,,14,0
30,Washington Wizards*,82,19855,.467,13.4,,.690,.243,.159,.139,.149,.310,,.508,.673,.418,.436,.405,.375,,.548,.880,,.042,248,,.252,1008,,.192,.376,,17,0
