Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19880,.466,11.2,,.805,.378,.118,.093,.217,.195,,.488,.584,.413,.392,.402,.376,,.534,.869,,.060,349,,.289,938,,.242,.381
2,Boston Celtics,82,19855,.468,11.7,,.809,.349,.128,.106,.226,.191,,.495,.612,.392,.403,.415,.354,,.566,.874,,.049,287,,.281,978,,.255,.379
3,Charlotte Bobcats,82,20005,.465,11.3,,.807,.359,.124,.101,.223,.193,,.489,.594,.427,.364,.413,.363,,.521,.861,,.056,313,,.274,966,,.289,.350
4,Chicago Bulls*,82,19780,.435,12.5,,.784,.317,.100,.120,.247,.216,,.459,.562,.409,.356,.398,.349,,.537,.897,,.041,246,,.252,827,,.293,.376
5,Cleveland Cavaliers*,82,19880,.448,12.1,,.806,.306,.134,.130,.236,.194,,.476,.627,.387,.376,.389,.329,,.529,.896,,.046,272,,.233,849,,.270,.322
6,Dallas Mavericks*,82,19755,.447,11.7,,.828,.310,.137,.139,.242,.172,,.467,.585,.394,.377,.409,.349,,.479,.840,,.041,227,,.246,816,,.248,.342
7,Denver Nuggets*,82,19780,.460,12.1,,.779,.322,.127,.101,.229,.221,,.490,.620,.421,.357,.404,.353,,.565,.874,,.050,328,,.245,973,,.305,.376
8,Detroit Pistons*,82,19880,.445,11.7,,.810,.339,.112,.118,.242,.190,,.470,.584,.360,.359,.414,.339,,.539,.851,,.043,244,,.273,918,,.329,.374
9,Golden State Warriors*,82,19755,.462,12.4,,.758,.300,.166,.086,.206,.242,,.492,.651,.383,.381,.395,.366,,.573,.911,,.049,317,,.239,973,,.288,.371
10,Houston Rockets*,82,19855,.429,13.0,,.793,.267,.125,.142,.259,.207,,.450,.541,.429,.398,.395,.351,,.511,.850,,.034,193,,.219,692,,.211,.349
11,Indiana Pacers,82,19780,.457,11.9,,.817,.295,.161,.134,.227,.183,,.476,.601,.419,.373,.415,.372,,.513,.831,,.047,277,,.234,810,,.335,.365
12,Los Angeles Clippers,82,19730,.452,12.0,,.792,.316,.142,.108,.226,.208,,.482,.583,.432,.422,.402,.339,,.534,.901,,.040,233,,.252,862,,.250,.373
13,Los Angeles Lakers*,82,20030,.461,11.8,,.782,.340,.132,.114,.197,.218,,.490,.602,.410,.397,.402,.358,,.522,.868,,.052,312,,.264,964,,.231,.417
14,Memphis Grizzlies,82,19980,.486,11.9,,.781,.341,.123,.104,.214,.219,,.513,.628,.441,.436,.409,.389,,.572,.889,,.056,345,,.257,993,,.293,.411
15,Miami Heat*,82,19855,.444,13.0,,.771,.280,.128,.112,.250,.229,,.471,.590,.412,.388,.404,.355,,.506,.864,,.048,268,,.212,726,,.281,.383
16,Milwaukee Bucks,82,19855,.480,12.2,,.770,.333,.106,.129,.201,.230,,.513,.645,.441,.421,.393,.368,,.596,.896,,.056,352,,.247,979,,.295,.432
17,Minnesota Timberwolves,82,20005,.460,12.4,,.778,.319,.105,.117,.237,.222,,.492,.618,.442,.387,.394,.348,,.527,.840,,.048,295,,.246,924,,.261,.386
18,New Jersey Nets*,82,19880,.450,12.8,,.775,.294,.116,.108,.258,.225,,.476,.592,.415,.393,.408,.357,,.563,.882,,.039,236,,.227,814,,.251,.408
19,New Orleans/Oklahoma City Hornets,82,19880,.457,12.6,,.761,.298,.123,.117,.222,.239,,.489,.604,.421,.391,.423,.355,,.505,.839,,.040,240,,.241,872,,.281,.391
20,New York Knicks,82,20005,.460,12.7,,.768,.290,.134,.108,.237,.232,,.485,.623,.404,.362,.419,.376,,.509,.874,,.044,275,,.219,815,,.259,.403
21,Orlando Magic*,82,19780,.442,12.7,,.789,.292,.124,.117,.256,.211,,.466,.584,.407,.384,.399,.353,,.529,.879,,.042,245,,.227,740,,.277,.395
22,Philadelphia 76ers,82,19880,.463,12.1,,.783,.329,.121,.118,.216,.217,,.493,.608,.428,.375,.417,.353,,.549,.861,,.050,300,,.255,926,,.242,.404
23,Phoenix Suns*,82,19905,.457,12.5,,.804,.288,.135,.130,.251,.196,,.480,.630,.412,.379,.396,.363,,.418,.802,,.040,256,,.227,949,,.182,.419
24,Portland Trail Blazers,82,19955,.471,11.6,,.795,.337,.138,.100,.220,.205,,.499,.624,.409,.410,.405,.361,,.523,.852,,.054,309,,.257,919,,.261,.427
25,Sacramento Kings,82,19805,.472,12.6,,.772,.284,.153,.102,.232,.228,,.503,.652,.451,.397,.403,.365,,.530,.840,,.046,284,,.215,877,,.291,.375
26,San Antonio Spurs*,82,19780,.443,11.5,,.830,.301,.175,.144,.210,.170,,.465,.572,.395,.397,.415,.334,,.447,.821,,.036,206,,.257,858,,.268,.376
27,Seattle SuperSonics,82,19830,.476,12.1,,.781,.313,.141,.107,.221,.219,,.508,.671,.404,.405,.394,.361,,.545,.867,,.047,292,,.242,981,,.305,.360
28,Toronto Raptors*,82,19755,.463,12.5,,.774,.313,.123,.098,.240,.226,,.494,.606,.458,.422,.394,.357,,.508,.867,,.045,263,,.231,832,,.262,.379
29,Utah Jazz*,82,19805,.455,12.5,,.770,.312,.130,.092,.236,.230,,.485,.634,.373,.400,.383,.355,,.488,.838,,.045,256,,.246,903,,.275,.362
30,Washington Wizards*,82,19830,.473,12.5,,.763,.297,.144,.108,.213,.237,,.502,.660,.352,.457,.406,.377,,.559,.848,,.047,301,,.228,909,,.283,.424
