Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19705,.454,12.8,,.774,.295,.142,.097,.240,.226,,.484,.615,.430,.371,.401,.353,,.512,.830,,.050,300,,.248,926,,.237,.364
2,Boston Celtics*,82,19880,.431,12.8,,.774,.304,.122,.120,.228,.226,,.454,.580,.393,.393,.352,.349,,.501,.832,,.046,269,,.245,834,,.254,.388
3,Charlotte Bobcats,82,19930,.454,12.4,,.760,.328,.115,.100,.216,.240,,.482,.579,.406,.414,.407,.366,,.481,.869,,.050,279,,.258,867,,.315,.348
4,Chicago Bulls*,82,19930,.458,11.8,,.796,.354,.100,.116,.227,.204,,.486,.588,.422,.403,.397,.347,,.494,.846,,.056,353,,.275,1012,,.260,.420
5,Cleveland Cavaliers*,82,19780,.431,12.5,,.775,.322,.115,.113,.226,.225,,.459,.577,.393,.363,.372,.333,,.502,.867,,.052,302,,.252,853,,.281,.361
6,Dallas Mavericks*,82,19805,.455,12.4,,.796,.298,.129,.120,.248,.204,,.475,.585,.426,.387,.413,.375,,.466,.814,,.043,260,,.241,873,,.239,.403
7,Denver Nuggets*,82,19730,.440,12.6,,.756,.313,.125,.095,.223,.244,,.464,.574,.406,.381,.379,.366,,.521,.870,,.046,286,,.246,863,,.286,.379
8,Detroit Pistons*,82,19905,.451,12.3,,.808,.316,.105,.127,.259,.192,,.474,.609,.394,.392,.381,.354,,.523,.862,,.045,260,,.253,912,,.245,.382
9,Golden State Warriors,82,19880,.468,11.6,,.789,.331,.163,.105,.191,.211,,.491,.623,.372,.394,.417,.380,,.523,.869,,.064,428,,.251,1025,,.282,.392
10,Houston Rockets*,82,19805,.444,12.4,,.807,.292,.129,.131,.254,.193,,.465,.581,.402,.387,.403,.357,,.489,.828,,.046,277,,.232,834,,.221,.380
11,Indiana Pacers,82,19830,.458,13.1,,.779,.272,.123,.127,.257,.221,,.481,.606,.416,.416,.413,.375,,.486,.844,,.046,287,,.224,854,,.321,.368
12,Los Angeles Clippers,82,19880,.473,11.8,,.790,.346,.115,.103,.226,.210,,.499,.599,.433,.446,.404,.375,,.552,.879,,.063,387,,.261,952,,.277,.406
13,Los Angeles Lakers*,82,19780,.447,12.4,,.751,.339,.096,.100,.216,.249,,.481,.597,.395,.372,.386,.345,,.547,.865,,.059,372,,.263,952,,.321,.380
14,Memphis Grizzlies,82,19805,.473,12.4,,.763,.327,.122,.100,.213,.237,,.510,.640,.389,.403,.430,.355,,.511,.869,,.061,360,,.254,934,,.260,.402
15,Miami Heat*,82,19955,.455,12.3,,.763,.306,.143,.109,.205,.237,,.476,.603,.402,.383,.388,.389,,.485,.875,,.050,289,,.236,832,,.307,.448
16,Milwaukee Bucks,82,19780,.458,12.5,,.762,.315,.105,.133,.208,.238,,.483,.608,.422,.386,.386,.378,,.533,.906,,.043,249,,.256,901,,.324,.422
17,Minnesota Timberwolves,82,19805,.474,12.6,,.784,.293,.132,.114,.245,.216,,.500,.627,.438,.391,.434,.377,,.508,.856,,.044,271,,.233,882,,.220,.394
18,New Jersey Nets,82,19830,.462,12.5,,.759,.332,.102,.097,.228,.241,,.485,.603,.409,.345,.408,.391,,.536,.885,,.053,301,,.266,941,,.259,.450
19,New Orleans Hornets*,82,19755,.450,13.0,,.743,.307,.100,.111,.226,.257,,.484,.606,.420,.365,.405,.354,,.501,.883,,.046,278,,.246,847,,.266,.381
20,New York Knicks,82,19805,.480,12.1,,.769,.324,.133,.100,.213,.231,,.518,.628,.441,.421,.445,.351,,.462,.834,,.048,322,,.252,1045,,.266,.370
21,Oklahoma City Thunder,82,19805,.475,11.3,,.788,.356,.128,.106,.198,.212,,.505,.594,.429,.409,.446,.364,,.491,.840,,.060,373,,.278,993,,.274,.375
22,Orlando Magic*,82,19730,.433,12.8,,.809,.281,.117,.141,.269,.191,,.454,.561,.388,.383,.408,.342,,.447,.840,,.037,232,,.230,808,,.223,.429
23,Philadelphia 76ers*,82,19755,.462,12.4,,.754,.335,.110,.106,.203,.246,,.493,.582,.464,.403,.408,.367,,.535,.868,,.050,301,,.268,910,,.285,.389
24,Phoenix Suns,82,19755,.467,13.1,,.767,.264,.141,.123,.239,.233,,.492,.626,.410,.426,.427,.383,,.463,.819,,.049,321,,.201,799,,.246,.408
25,Portland Trail Blazers*,82,19830,.460,12.0,,.794,.321,.135,.100,.238,.206,,.482,.591,.391,.409,.418,.374,,.483,.873,,.053,290,,.247,846,,.281,.369
26,Sacramento Kings,82,19905,.483,11.6,,.789,.326,.154,.104,.206,.211,,.504,.634,.424,.391,.414,.406,,.486,.833,,.066,405,,.246,964,,.287,.424
27,San Antonio Spurs*,82,19905,.453,12.2,,.820,.274,.163,.147,.237,.180,,.469,.573,.408,.414,.424,.379,,.441,.819,,.038,227,,.225,777,,.236,.387
28,Toronto Raptors,82,19805,.465,12.8,,.749,.313,.110,.097,.228,.251,,.498,.611,.440,.379,.420,.367,,.519,.903,,.056,347,,.238,892,,.298,.413
29,Utah Jazz*,82,19880,.464,11.9,,.773,.337,.137,.093,.206,.227,,.494,.613,.429,.372,.397,.361,,.478,.848,,.060,357,,.255,921,,.283,.368
30,Washington Wizards,82,19705,.482,13.0,,.735,.312,.113,.085,.226,.265,,.516,.653,.377,.436,.427,.387,,.564,.907,,.060,379,,.235,901,,.309,.449
