Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Clippers*,82,19730,41.5,87.7,.473,10.6,28.3,.376,30.8,59.4,.519,18.9,26.5,.710,10.1,34.8,44.9,26.1,8.2,5.3,13.0,22.5,112.4
2,Golden State Warriors*,82,19730,42.2,88.3,.478,10.9,27.4,.398,31.3,60.9,.514,16.3,21.2,.768,10.6,34.8,45.4,27.8,9.4,6.1,14.7,20.2,111.6
3,Cleveland Cavaliers*,82,19780,40.6,88.6,.458,10.9,29.6,.367,29.7,58.9,.504,19.1,25.4,.751,12.0,34.3,46.3,23.8,7.9,4.5,15.4,19.8,111.1
4,Toronto Raptors*,82,19855,40.5,88.9,.455,9.5,26.8,.352,31.0,62.1,.499,20.6,26.2,.787,11.5,32.9,44.4,22.1,8.0,4.6,13.8,22.3,111.0
5,Dallas Mavericks*,82,19880,41.3,89.3,.463,9.3,26.4,.352,32.0,62.8,.509,17.6,23.4,.752,10.9,33.1,44.0,23.4,8.4,4.7,13.5,20.9,109.5
6,Atlanta Hawks*,82,19730,40.4,86.7,.466,10.6,27.9,.380,29.8,58.9,.506,17.5,22.5,.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,108.9
7,San Antonio Spurs*,82,19955,41.1,87.9,.468,8.7,23.7,.367,32.5,64.2,.505,17.5,22.5,.780,10.3,35.6,45.9,25.7,8.4,5.7,14.7,20.1,108.5
8,New Orleans Pelicans*,82,19780,41.3,90.2,.457,7.8,21.0,.370,33.5,69.2,.484,17.9,23.8,.751,12.5,34.8,47.3,24.0,7.3,6.8,14.4,20.3,108.2
9,Portland Trail Blazers*,82,19855,40.7,90.4,.450,10.4,28.6,.362,30.4,61.8,.491,16.3,20.4,.801,11.3,37.0,48.2,23.1,6.7,4.8,14.3,19.2,108.2
10,Oklahoma City Thunder,82,19830,40.3,90.0,.447,8.0,23.6,.339,32.3,66.4,.486,19.3,25.5,.754,13.3,36.0,49.3,21.3,7.6,5.7,15.2,23.1,107.8
11,Chicago Bulls*,82,19880,39.0,88.4,.442,8.4,23.7,.353,30.7,64.7,.474,21.1,26.9,.783,12.5,36.3,48.8,23.2,6.7,6.2,14.9,19.5,107.5
12,Houston Rockets*,82,19805,38.1,85.8,.444,11.7,33.6,.348,26.3,52.1,.506,19.1,26.8,.715,12.0,32.9,45.0,22.8,9.8,5.1,17.1,22.6,107.0
13,Memphis Grizzlies*,82,19905,40.6,88.7,.458,5.5,16.3,.339,35.1,72.3,.485,18.9,24.5,.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,105.7
14,Detroit Pistons,82,19830,39.7,91.8,.432,9.2,26.6,.344,30.5,65.1,.468,16.8,24.0,.703,13.7,34.3,48.0,23.1,8.1,5.0,14.3,20.3,105.3
15,Sacramento Kings,82,19855,38.2,83.9,.455,5.8,17.1,.341,32.3,66.8,.484,23.2,30.4,.762,11.3,34.6,45.9,21.1,7.0,4.1,16.9,21.5,105.3
16,Phoenix Suns,82,19880,39.8,88.3,.452,8.8,25.7,.341,31.1,62.6,.497,16.8,22.2,.760,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,105.3
17,Utah Jazz,82,19705,39.1,87.5,.447,8.2,24.0,.343,30.9,63.5,.486,18.7,26.0,.721,13.3,35.3,48.6,22.0,8.4,6.6,16.9,21.3,105.1
18,Boston Celtics*,82,19880,40.2,90.8,.443,8.3,25.5,.327,31.9,65.4,.488,15.9,21.1,.754,11.5,33.8,45.3,25.3,8.5,3.7,14.3,21.9,104.7
19,Denver Nuggets,82,19880,38.9,89.9,.433,8.3,25.5,.325,30.6,64.4,.476,18.4,25.0,.734,12.7,33.3,46.0,22.5,8.1,4.6,14.6,23.6,104.5
20,Brooklyn Nets*,82,19930,39.9,88.4,.451,7.0,21.2,.331,32.8,67.2,.489,17.6,23.6,.748,11.0,34.1,45.1,22.3,7.5,4.4,14.7,20.5,104.4
21,Miami Heat,82,19730,38.6,84.7,.456,7.4,22.2,.335,31.2,62.5,.499,19.2,26.0,.741,10.0,32.9,42.9,21.8,8.6,5.0,16.2,21.9,103.9
22,Washington Wizards*,82,19955,40.3,87.2,.462,6.4,17.7,.360,33.9,69.4,.488,16.8,22.6,.742,11.1,36.0,47.0,25.3,7.7,4.9,15.8,21.9,103.7
23,Indiana Pacers,82,19855,38.9,88.5,.439,7.9,22.6,.352,31.0,66.0,.469,17.8,23.6,.756,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,103.5
24,Los Angeles Lakers,82,19930,39.1,89.9,.435,6.8,19.8,.344,32.3,70.1,.461,18.4,24.8,.741,12.2,33.9,46.1,22.0,7.4,4.7,13.9,22.3,103.4
25,Minnesota Timberwolves,82,19805,38.3,87.5,.438,5.2,15.7,.332,33.1,71.8,.461,21.0,27.1,.776,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,102.9
26,Milwaukee Bucks*,82,19930,39.5,86.0,.459,7.0,19.2,.363,32.5,66.8,.486,16.8,22.2,.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,102.7
27,Orlando Magic,82,19755,39.8,87.9,.453,7.2,20.7,.347,32.6,67.2,.486,14.8,20.3,.729,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,101.6
28,Charlotte Hornets,82,19905,37.8,89.9,.420,6.5,20.3,.318,31.3,69.6,.450,18.1,24.2,.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,100.1
29,New York Knicks,82,19855,38.2,89.2,.428,7.4,21.4,.347,30.8,67.8,.454,16.1,20.9,.769,11.5,32.4,43.9,23.1,7.6,5.1,16.0,23.4,99.9
30,Philadelphia 76ers,82,19805,35.0,85.8,.408,8.8,27.3,.320,26.2,58.4,.449,16.7,24.7,.676,12.4,32.1,44.5,21.3,10.0,6.2,18.4,22.5,95.5
