Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19855,.463,11.9,,.790,.350,.113,.093,.233,.210,,.489,.600,.414,.371,.407,.362,,.531,.865,,.058,362,,.271,999,,.269,.405
2,Boston Celtics*,82,19755,.419,13.3,,.758,.266,.137,.117,.237,.242,,.452,.604,.374,.389,.357,.316,,.516,.862,,.041,239,,.216,763,,.259,.340
3,Charlotte Bobcats,82,19880,.466,12.0,,.782,.336,.117,.106,.223,.218,,.497,.610,.445,.401,.399,.355,,.511,.884,,.059,346,,.260,966,,.280,.430
4,Chicago Bulls,82,19805,.453,12.8,,.769,.315,.087,.119,.248,.231,,.476,.560,.439,.432,.404,.375,,.529,.907,,.046,275,,.249,833,,.276,.398
5,Cleveland Cavaliers*,82,19855,.455,12.5,,.780,.314,.120,.120,.227,.220,,.482,.596,.383,.399,.421,.357,,.527,.866,,.049,292,,.250,873,,.254,.396
6,Dallas Mavericks*,82,19730,.443,12.0,,.822,.300,.149,.130,.243,.178,,.463,.598,.401,.364,.389,.349,,.484,.831,,.043,253,,.243,874,,.262,.359
7,Denver Nuggets*,82,19855,.457,12.7,,.766,.312,.111,.099,.244,.234,,.485,.604,.387,.401,.411,.363,,.576,.874,,.056,379,,.236,933,,.297,.384
8,Detroit Pistons*,82,19730,.437,12.5,,.802,.327,.093,.115,.268,.198,,.463,.568,.396,.384,.392,.332,,.531,.814,,.047,262,,.260,844,,.232,.392
9,Golden State Warriors,82,19780,.468,12.2,,.778,.302,.161,.108,.206,.222,,.496,.645,.398,.382,.415,.368,,.531,.885,,.048,318,,.234,990,,.286,.409
10,Houston Rockets*,82,19730,.433,12.4,,.820,.288,.134,.131,.266,.180,,.447,.548,.384,.413,.387,.365,,.491,.831,,.043,252,,.226,743,,.221,.427
11,Indiana Pacers,82,19755,.454,13.1,,.770,.257,.149,.122,.241,.230,,.474,.594,.420,.369,.432,.386,,.515,.891,,.046,286,,.216,816,,.316,.427
12,Los Angeles Clippers,82,19805,.467,11.9,,.791,.337,.126,.109,.220,.209,,.498,.615,.394,.426,.414,.349,,.535,.881,,.053,324,,.259,977,,.256,.384
13,Los Angeles Lakers*,82,19780,.445,12.2,,.782,.322,.122,.111,.227,.218,,.469,.573,.388,.377,.408,.362,,.513,.854,,.049,314,,.252,911,,.254,.386
14,Memphis Grizzlies,82,19805,.480,12.6,,.770,.320,.111,.098,.242,.230,,.514,.645,.425,.430,.416,.364,,.522,.848,,.054,351,,.247,1044,,.226,.383
15,Miami Heat,82,19830,.468,12.8,,.769,.289,.124,.117,.239,.231,,.497,.639,.417,.406,.412,.369,,.539,.875,,.064,385,,.212,771,,.273,.389
16,Milwaukee Bucks,82,19855,.480,12.2,,.767,.341,.103,.114,.209,.233,,.509,.608,.448,.395,.438,.384,,.551,.854,,.061,360,,.261,951,,.273,.439
17,Minnesota Timberwolves,82,19730,.472,12.8,,.766,.304,.113,.101,.247,.234,,.507,.654,.385,.393,.428,.357,,.571,.854,,.058,349,,.229,884,,.255,.382
18,New Jersey Nets,82,19830,.456,12.6,,.779,.314,.109,.104,.252,.221,,.480,.577,.425,.406,.414,.369,,.554,.850,,.050,299,,.249,850,,.271,.418
19,New Orleans Hornets*,82,19805,.460,12.9,,.765,.306,.100,.107,.252,.235,,.494,.622,.415,.379,.417,.351,,.527,.855,,.044,263,,.246,938,,.238,.420
20,New York Knicks,82,19880,.474,12.8,,.763,.302,.115,.110,.236,.237,,.507,.625,.466,.408,.424,.369,,.487,.864,,.047,297,,.238,918,,.266,.366
21,Orlando Magic*,82,19780,.446,13.0,,.790,.281,.115,.134,.260,.210,,.469,.601,.385,.369,.416,.358,,.512,.899,,.039,246,,.222,858,,.232,.403
22,Philadelphia 76ers*,82,19755,.461,12.0,,.762,.347,.111,.105,.198,.238,,.493,.590,.433,.366,.424,.360,,.574,.898,,.053,316,,.276,949,,.274,.368
23,Phoenix Suns*,82,19780,.456,12.0,,.820,.307,.146,.125,.242,.180,,.479,.600,.380,.415,.418,.353,,.430,.765,,.051,328,,.240,976,,.193,.424
24,Portland Trail Blazers,82,19905,.451,12.3,,.773,.313,.132,.106,.222,.227,,.479,.603,.436,.354,.388,.356,,.508,.882,,.058,342,,.235,845,,.276,.385
25,Sacramento Kings,82,19830,.466,12.6,,.762,.293,.146,.101,.221,.238,,.495,.630,.433,.394,.403,.373,,.533,.879,,.048,306,,.225,883,,.300,.400
26,San Antonio Spurs*,82,19730,.444,12.6,,.809,.271,.151,.136,.251,.191,,.468,.598,.400,.414,.399,.342,,.473,.805,,.040,237,,.221,781,,.249,.348
27,Seattle SuperSonics,82,19830,.461,12.0,,.779,.314,.144,.115,.206,.221,,.482,.606,.389,.388,.412,.385,,.539,.908,,.051,336,,.241,942,,.271,.386
28,Toronto Raptors*,82,19830,.458,13.1,,.744,.303,.113,.098,.230,.256,,.489,.607,.430,.391,.404,.368,,.523,.887,,.051,302,,.235,859,,.280,.382
29,Utah Jazz*,82,19705,.461,12.4,,.774,.321,.123,.098,.233,.226,,.491,.622,.418,.350,.409,.357,,.497,.874,,.052,304,,.247,881,,.264,.396
30,Washington Wizards*,82,19905,.461,13.3,,.730,.282,.128,.094,.225,.270,,.489,.654,.372,.350,.406,.386,,.579,.889,,.053,338,,.218,821,,.272,.428
