Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19855,.460,11.9,,.790,.337,.133,.101,.219,.210,,.491,.613,.383,.388,.415,.345,,.514,.831,,.055,333,,.267,984,,.235,.388
2,Boston Celtics*,82,19780,.451,12.5,,.785,.302,.135,.120,.228,.215,,.481,.596,.429,.391,.405,.342,,.498,.819,,.038,232,,.247,862,,.268,.405
3,Charlotte Bobcats*,82,19880,.448,12.5,,.741,.338,.109,.088,.205,.259,,.486,.590,.404,.398,.395,.338,,.496,.871,,.049,280,,.264,936,,.304,.368
4,Chicago Bulls*,82,19905,.442,12.6,,.756,.327,.102,.105,.223,.244,,.472,.570,.426,.396,.387,.348,,.497,.844,,.042,264,,.266,958,,.252,.384
5,Cleveland Cavaliers*,82,19780,.442,12.9,,.772,.294,.118,.122,.238,.228,,.471,.590,.398,.377,.407,.347,,.509,.826,,.039,239,,.236,851,,.255,.368
6,Dallas Mavericks*,82,19880,.457,12.5,,.777,.293,.142,.115,.227,.223,,.488,.618,.422,.406,.404,.347,,.475,.823,,.036,228,,.238,941,,.234,.355
7,Denver Nuggets*,82,19780,.456,12.3,,.779,.320,.127,.099,.233,.221,,.487,.607,.438,.408,.383,.349,,.500,.843,,.041,256,,.255,983,,.261,.386
8,Detroit Pistons,82,19780,.480,12.5,,.755,.330,.105,.105,.216,.245,,.515,.630,.422,.414,.432,.375,,.584,.877,,.054,306,,.252,903,,.287,.430
9,Golden State Warriors,82,19730,.485,11.9,,.785,.317,.162,.117,.189,.215,,.515,.662,.422,.406,.416,.375,,.523,.868,,.055,358,,.240,1039,,.277,.394
10,Houston Rockets,82,19905,.475,11.9,,.803,.328,.129,.118,.227,.197,,.503,.629,.465,.391,.399,.364,,.474,.845,,.040,256,,.270,1085,,.225,.411
11,Indiana Pacers,82,19705,.453,12.7,,.796,.291,.137,.115,.253,.204,,.476,.592,.404,.415,.409,.363,,.481,.867,,.043,258,,.238,919,,.258,.409
12,Los Angeles Clippers,82,19705,.470,12.1,,.785,.327,.124,.109,.226,.215,,.499,.614,.429,.414,.413,.363,,.550,.870,,.057,343,,.246,948,,.248,.445
13,Los Angeles Lakers*,82,19830,.446,12.5,,.768,.315,.119,.114,.220,.232,,.481,.599,.399,.406,.398,.328,,.533,.854,,.049,304,,.247,930,,.261,.365
14,Memphis Grizzlies,82,19905,.478,11.8,,.764,.357,.116,.095,.196,.236,,.517,.629,.473,.395,.398,.354,,.508,.874,,.060,372,,.276,1104,,.261,.407
15,Miami Heat*,82,19880,.439,12.6,,.761,.293,.142,.116,.211,.239,,.469,.580,.429,.383,.390,.342,,.484,.834,,.045,250,,.226,777,,.244,.406
16,Milwaukee Bucks*,82,19980,.451,12.0,,.799,.330,.110,.144,.216,.201,,.478,.582,.416,.422,.390,.343,,.494,.868,,.043,247,,.266,911,,.261,.369
17,Minnesota Timberwolves,82,19780,.480,12.7,,.757,.309,.113,.103,.231,.243,,.517,.662,.457,.411,.400,.366,,.574,.871,,.060,396,,.229,953,,.288,.390
18,New Jersey Nets,82,19780,.481,11.3,,.806,.368,.114,.108,.217,.194,,.509,.618,.415,.424,.415,.366,,.571,.891,,.060,359,,.284,1081,,.258,.412
19,New Orleans Hornets,82,19830,.483,12.1,,.775,.340,.108,.116,.210,.225,,.520,.644,.468,.375,.426,.355,,.539,.861,,.052,319,,.270,1091,,.254,.394
20,New York Knicks,82,19880,.486,12.0,,.772,.338,.128,.096,.210,.228,,.525,.633,.494,.405,.426,.352,,.454,.819,,.049,326,,.264,1064,,.258,.409
21,Oklahoma City Thunder*,82,19805,.448,11.3,,.790,.356,.133,.110,.191,.210,,.476,.602,.381,.368,.371,.340,,.482,.834,,.052,312,,.283,1051,,.235,.373
22,Orlando Magic*,82,19730,.438,12.7,,.787,.286,.129,.131,.241,.213,,.459,.577,.388,.397,.390,.363,,.465,.801,,.040,245,,.226,795,,.229,.398
23,Philadelphia 76ers,82,19805,.472,11.9,,.765,.337,.126,.112,.191,.235,,.497,.607,.446,.411,.385,.393,,.522,.835,,.047,294,,.274,1000,,.269,.402
24,Phoenix Suns*,82,19730,.452,12.2,,.779,.301,.157,.109,.212,.221,,.479,.599,.399,.408,.403,.355,,.474,.777,,.050,317,,.233,925,,.258,.363
25,Portland Trail Blazers*,82,19855,.464,12.1,,.780,.329,.126,.102,.222,.220,,.499,.622,.444,.390,.398,.343,,.475,.852,,.046,268,,.263,978,,.261,.373
26,Sacramento Kings,82,19880,.469,11.7,,.796,.314,.158,.112,.212,.204,,.497,.643,.398,.402,.404,.357,,.471,.825,,.054,339,,.241,981,,.237,.380
27,San Antonio Spurs*,82,19780,.452,11.8,,.821,.298,.167,.137,.219,.179,,.476,.590,.414,.417,.404,.343,,.474,.820,,.034,204,,.250,912,,.228,.372
28,Toronto Raptors,82,19780,.468,12.4,,.756,.323,.128,.103,.202,.244,,.501,.614,.412,.416,.420,.366,,.524,.877,,.048,302,,.250,985,,.283,.416
29,Utah Jazz*,82,19755,.449,12.4,,.759,.325,.124,.093,.218,.241,,.480,.607,.411,.358,.381,.354,,.487,.870,,.046,268,,.259,947,,.270,.397
30,Washington Wizards,82,19830,.463,12.5,,.780,.291,.155,.099,.234,.220,,.492,.664,.371,.403,.395,.360,,.517,.852,,.048,309,,.227,925,,.259,.383
