Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
24,Philadelphia 76ers,25.4,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,-4.2,91.6,0.27,0.206,0.534,,0.496,13.7,27.6,0.204,,0.518,13.8,73.2,0.231,,Wachovia Center,583219,14225
25,Sacramento Kings,24.1,25,57,29,53,-4.37,0.3,-4.06,105.3,109.9,-4.6,94,0.286,0.201,0.528,,0.491,13.6,27.8,0.207,,0.505,12.6,73.5,0.244,,Power Balance Pavilion,543416,13254
26,Washington Wizards,27.6,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,0.283,0.183,0.524,,0.481,13.9,27.6,0.216,,0.502,12.8,72.4,0.239,,Verizon Center,664398,16205
27,Detroit Pistons,26.7,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,,0.474,12.8,30.3,0.22,,0.526,14.2,73.4,0.264,,The Palace of Auburn Hills,768826,18752
28,Los Angeles Clippers,27.3,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.283,0.221,0.529,,0.491,14.8,27.1,0.206,,0.509,12.2,74,0.214,,STAPLES Center,670063,16343
29,Minnesota Timberwolves,24.1,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,-9.9,96.1,0.278,0.171,0.518,,0.478,14.6,26.7,0.207,,0.525,13,73.6,0.22,,Target Center,619170,15102
30,New Jersey Nets,24.8,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,0.307,0.181,0.509,,0.458,13.7,25.1,0.24,,0.517,13.3,71.8,0.229,,Izod Center,537230,13103
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Miami Heat*,29,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,,0.524,13.5,25.2,0.279,,0.475,12.6,75.5,0.223,,AmericanAirlines Arena,810930,19779
2,Chicago Bulls*,26.4,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,8,90.4,0.305,0.215,0.541,,0.501,13.5,29.4,0.227,,0.463,13.6,76.2,0.222,,United Center,893462,21792
3,Los Angeles Lakers*,30.2,57,25,58,24,6.11,-0.1,6.01,111,104.3,6.7,90.7,0.293,0.22,0.545,,0.502,12.3,29.2,0.228,,0.477,12.8,72.3,0.181,,STAPLES Center,778877,18997
4,San Antonio Spurs*,28.8,61,21,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,,0.527,12.8,24.9,0.229,,0.491,12.6,74.6,0.19,,AT&T Center,750879,18314
5,Boston Celtics*,29.5,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,,0.519,14.5,21.1,0.235,,0.469,14.8,74.7,0.235,,TD Garden,763584,18624
6,Orlando Magic*,27.6,52,30,56,26,5.46,-0.54,4.92,107.9,102,5.9,91.2,0.328,0.328,0.554,,0.521,14.3,26.1,0.227,,0.475,13.3,76.9,0.219,,Amway Center,777852,18972
7,Denver Nuggets*,27.3,50,32,54,28,4.76,0.05,4.81,112.3,107.3,5,95.6,0.367,0.258,0.574,,0.526,13.1,23.9,0.281,,0.5,12.7,75.4,0.224,,Pepsi Center,696568,16989
8,Dallas Mavericks*,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105,4.7,91.3,0.286,0.274,0.565,,0.525,13.6,24.1,0.222,,0.488,13,74.8,0.206,,American Airlines Center,824162,20102
9,Oklahoma City Thunder*,23.7,55,27,51,31,3.79,0.02,3.81,111.2,107.2,4,92.7,0.363,0.212,0.561,,0.501,13.1,27.4,0.299,,0.493,12.9,73.6,0.228,,Chesapeake Energy Arena,744068,18148
10,Memphis Grizzlies*,25.2,46,36,48,34,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,,0.493,13,28.9,0.218,,0.502,15.7,72.5,0.228,,FedEx Forum,600687,14651
11,Houston Rockets,26.5,43,39,47,35,2.18,0.19,2.37,111.3,109,2.3,94.2,0.299,0.264,0.55,,0.503,12.3,27.4,0.239,,0.5,12.6,72.7,0.219,,Toyota Center,663839,16191
12,Portland Trail Blazers*,26.7,48,34,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,0.278,0.228,0.533,,0.486,12.6,29.5,0.224,,0.51,15.4,72,0.231,,Rose Garden Arena,840924,20510
13,Philadelphia 76ers*,24.7,41,41,45,37,1.5,-0.5,1.01,106.6,105,1.6,91.7,0.273,0.184,0.535,,0.494,12.3,24.6,0.21,,0.487,13.5,74.5,0.231,,Wells Fargo Center,604823,14752
14,New Orleans Hornets*,26.3,46,36,44,38,0.89,0.39,1.28,106.2,105.2,1,88.7,0.296,0.192,0.537,,0.493,12.8,25.1,0.226,,0.501,14.4,76.2,0.22,,New Orleans Arena,603088,14709
15,New York Knicks*,25.3,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,,0.513,12.6,24.2,0.246,,0.511,13.8,71.9,0.24,,Madison Square Garden (IV),808879,19729
16,Milwaukee Bucks,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,0.287,0.216,0.511,,0.467,13,24.7,0.217,,0.481,14.7,74.8,0.236,,Bradley Center,631912,15412
17,Phoenix Suns,29.6,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,0.283,0.271,0.559,,0.522,13.2,23.7,0.215,,0.513,13.1,71.6,0.211,,US Airways Center,720249,17567
18,Atlanta Hawks*,27.4,44,38,39,43,-0.82,-0.28,-1.1,106.1,107,-0.9,89.3,0.269,0.222,0.542,,0.501,13.5,23.4,0.209,,0.495,12.3,74.6,0.211,,Philips Arena,641596,15649
19,Indiana Pacers*,25.9,37,45,38,44,-1.07,-0.3,-1.38,104.8,106,-1.2,94.7,0.3,0.244,0.533,,0.486,14.1,25.9,0.235,,0.487,12.8,74.1,0.237,,Conseco Fieldhouse,555077,13538
20,Utah Jazz,26.8,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2,91,0.313,0.191,0.544,,0.498,13.5,27,0.241,,0.505,13.8,71.7,0.275,,EnergySolutions Arena,799982,19512
21,Golden State Warriors,25.2,36,46,35,47,-2.33,0.33,-2,108.2,110.7,-2.5,94.8,0.241,0.248,0.544,,0.51,13.3,26.7,0.183,,0.509,14.5,69.3,0.259,,Oracle Arena,766398,18693
22,Los Angeles Clippers,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,0.332,0.23,0.535,,0.496,15.1,28.4,0.234,,0.499,12.8,73.2,0.25,,STAPLES Center,727462,17743
23,Detroit Pistons,27.2,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,-4,89.2,0.279,0.189,0.533,,0.495,12.5,27.4,0.206,,0.526,13.8,72.1,0.235,,The Palace of Auburn Hills,683080,16660
24,Charlotte Bobcats,26.9,34,48,29,53,-4,-0.08,-4.08,103.4,107.8,-4.4,89.6,0.314,0.189,0.528,,0.482,14.1,25.7,0.237,,0.5,12.9,75.2,0.229,,Time Warner Cable Arena,649694,15846
25,Sacramento Kings,24.8,24,58,27,55,-5.34,0.54,-4.8,103.5,109,-5.5,95.2,0.284,0.183,0.519,,0.48,14.4,29.9,0.208,,0.513,13.5,74.4,0.233,,Power Balance Pavilion,569496,13890
26,New Jersey Nets,24.8,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,0.283,0.201,0.517,,0.474,13.4,26.1,0.215,,0.503,11.8,74.2,0.241,,Prudential Center,581378,13949
27,Toronto Raptors,24.5,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,0.293,0.162,0.533,,0.491,13.7,28.2,0.221,,0.522,13,72,0.251,,Air Canada Centre,680255,16592
28,Minnesota Timberwolves,23.8,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,,0.483,15.1,29.6,0.217,,0.514,13.1,73.7,0.251,,Target Center,624960,15243
29,Washington Wizards,24.9,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,-7.8,93.8,0.29,0.172,0.513,,0.471,13.9,28,0.216,,0.512,14.4,70.5,0.249,,Verizon Center,688466,16792
30,Cleveland Cavaliers,26.6,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93,0.312,0.224,0.518,,0.472,13.4,24.2,0.233,,0.524,12.7,73.3,0.211,,Quicken Loans Arena,824595,20112
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Chicago Bulls*,27.1,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,,0.49,13.2,32.6,0.184,,0.45,12.8,74.3,0.175,,United Center,731326,22161
2,San Antonio Spurs*,27.5,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,,0.528,12.8,25.1,0.195,,0.489,12.9,76,0.168,,AT&T Center,607095,18397
3,Oklahoma City Thunder*,25.1,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93,0.334,0.252,0.567,,0.516,15.3,27.8,0.269,,0.465,13,72.1,0.207,,Chesapeake Energy Arena,600699,18203
4,Miami Heat*,28.3,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,,0.505,14.5,26.6,0.238,,0.479,15.8,73.9,0.2,,AmericanAirlines Arena,657855,19935
5,Philadelphia 76ers*,24.9,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,,0.48,10.9,24.4,0.161,,0.46,13.5,75.2,0.192,,Wells Fargo Center,577597,17503
6,Atlanta Hawks*,27.9,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,,0.5,13.4,23.9,0.192,,0.48,14.4,74.4,0.186,,Philips Arena,501593,15200
7,Indiana Pacers*,26.3,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,,0.474,13.1,29.2,0.251,,0.476,14.1,72.3,0.222,,Bankers Life Fieldhouse,467561,14169
8,New York Knicks*,26.3,36,30,41,25,3.2,-0.81,2.39,104.4,101,3.4,93.2,0.306,0.288,0.533,,0.492,14.9,26.6,0.227,,0.485,15.9,73.7,0.224,,Madison Square Garden (IV),652179,19763
9,Denver Nuggets*,26.6,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3,94.2,0.326,0.243,0.556,,0.516,14.1,27.7,0.239,,0.508,14.3,74.3,0.185,,Pepsi Center,561966,17029
10,Boston Celtics*,29.3,39,27,39,27,2.52,-0.26,2.26,101,98.2,2.8,90.4,0.257,0.194,0.535,,0.496,14.7,19.7,0.2,,0.452,14.9,72.4,0.216,,TD Garden,614592,18624
11,Los Angeles Clippers*,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,,0.502,12.7,29.5,0.195,,0.492,14.2,73.2,0.245,,STAPLES Center,634237,19219
12,Memphis Grizzlies*,25.6,41,25,38,28,2.02,0.42,2.43,104,101.8,2.2,90.8,0.277,0.157,0.515,,0.473,13.6,29.8,0.211,,0.485,16.3,72.7,0.227,,FedEx Forum,518446,15710
13,Los Angeles Lakers*,29.7,41,25,36,30,1.42,0.54,1.96,106,104.4,1.6,90.5,0.299,0.209,0.534,,0.491,14.2,29.1,0.226,,0.476,10.7,74.8,0.158,,STAPLES Center,626901,18997
14,Dallas Mavericks*,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1,91.4,0.246,0.271,0.527,,0.489,13.4,23.4,0.19,,0.479,13.9,74.8,0.203,,American Airlines Center,671050,20335
15,Orlando Magic*,27.5,37,29,35,31,0.79,-0.33,0.46,105,104.1,0.9,89,0.292,0.346,0.533,,0.506,14.5,26.5,0.193,,0.488,12.9,75.5,0.19,,Amway Center,623587,18897
16,Utah Jazz*,25.6,36,30,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,,0.481,13,30.2,0.227,,0.493,13.8,73.8,0.245,,EnergySolutions Arena,637124,19307
17,Milwaukee Bucks,26.2,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,,0.481,12.9,27.7,0.194,,0.489,14.6,70.9,0.217,,Bradley Center,485717,14719
18,Houston Rockets,26.2,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,,0.492,13.5,27.5,0.184,,0.49,13.8,73.4,0.21,,Toyota Center,506994,15363
19,Phoenix Suns,28.9,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,,0.499,13.3,25.8,0.194,,0.491,13.1,71.7,0.2,,US Airways Center,514718,15598
20,Portland Trail Blazers,27.5,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,,0.488,13.4,26.3,0.209,,0.504,14.1,72.8,0.199,,Rose Garden Arena,676384,20496
21,Minnesota Timberwolves,24.4,26,40,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,,0.477,14,27.5,0.236,,0.491,12.2,73,0.187,,Target Center,577197,17491
22,Golden State Warriors,25.3,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,,0.505,13.3,22.9,0.175,,0.496,13.6,69.1,0.237,,Oracle Arena,622311,18858
23,Toronto Raptors,25.7,23,43,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,,0.475,14.8,25.9,0.211,,0.475,12.8,75.4,0.26,,Air Canada Centre,555584,16836
24,New Orleans Hornets,25.5,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,,0.476,15.2,27.5,0.207,,0.485,13.5,73.1,0.218,,New Orleans Arena,498618,15110
25,Washington Wizards,24.2,20,46,22,44,-4.8,-0.34,-5.14,101,106.2,-5.2,92.5,0.253,0.196,0.508,,0.472,14.2,27.3,0.184,,0.492,14.2,70.9,0.229,,Verizon Center,552038,16728
26,Detroit Pistons,26.3,25,41,22,44,-4.79,-0.4,-5.19,101,106.3,-5.3,89.2,0.279,0.175,0.51,,0.468,15,28.1,0.21,,0.5,14.2,72.8,0.226,,The Palace of Auburn Hills,475638,14413
27,Sacramento Kings,24.3,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6,94.7,0.268,0.228,0.51,,0.472,13,29.1,0.197,,0.515,13.9,70.5,0.199,,Power Balance Pavilion,478764,14508
28,New Jersey Nets,26.1,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,,0.473,14.3,27.8,0.209,,0.513,13.7,70.7,0.209,,Prudential Center,460719,13961
29,Cleveland Cavaliers,26,21,45,17,49,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,,0.463,14.3,28.9,0.22,,0.508,13.1,72.2,0.202,,Quicken Loans Arena,525577,15927
30,Charlotte Bobcats,24.5,7,59,7,59,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,,0.439,13.9,23.6,0.206,,0.512,12.8,70.9,0.206,,Time Warner Cable Arena,486984,14757
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder*,26,60,22,64,18,9.21,-0.06,9.15,112.4,102.6,9.8,93.3,0.338,0.244,0.58,,0.527,14.4,26.7,0.28,,0.469,13.5,73.4,0.197,,Chesapeake Energy Arena,746323,18203
2,Miami Heat*,30.3,66,16,62,20,7.87,-0.84,7.03,112.3,103.7,8.6,90.7,0.297,0.285,0.588,,0.552,13.7,22.2,0.224,,0.487,14.8,73,0.2,,AmericanAirlines Arena,819290,19983
3,Los Angeles Clippers*,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7,91.1,0.286,0.265,0.557,,0.526,13.9,28.8,0.203,,0.492,15.4,73.5,0.229,,STAPLES Center,788293,19227
4,San Antonio Spurs*,28.6,58,24,58,24,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,,0.531,14,20.5,0.204,,0.48,13.7,74.9,0.179,,AT&T Center,755700,18432
5,Denver Nuggets*,26.1,57,25,55,27,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,,0.515,13.6,31.4,0.216,,0.493,14.3,71.8,0.193,,Pepsi Center,730616,17820
6,New York Knicks*,30.2,54,28,53,29,4.23,-0.5,3.73,111.1,106.3,4.8,89.8,0.258,0.354,0.55,,0.515,11.7,25.6,0.196,,0.508,14.8,74.7,0.216,,Madison Square Garden (IV),780353,19033
7,Memphis Grizzlies*,27,56,26,54,28,4.15,0.18,4.32,104.9,100.3,4.6,88.4,0.261,0.166,0.514,,0.472,13.3,31,0.202,,0.475,15.2,74.3,0.209,,FedEx Forum,681613,16625
8,Indiana Pacers*,25.7,49,32,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,,0.479,14.3,30.3,0.219,,0.453,12.9,74.6,0.197,,Bankers Life Fieldhouse,626069,15270
9,Houston Rockets*,24.4,45,37,50,32,3.48,0.22,3.69,109.7,106.1,3.6,96.1,0.308,0.349,0.564,,0.525,14.9,26.4,0.232,,0.502,13.5,75.2,0.196,,Toyota Center,683564,16672
10,Brooklyn Nets*,28.6,49,33,46,36,1.78,-0.53,1.25,108.2,106.2,2,88.8,0.299,0.269,0.536,,0.498,14,30.9,0.219,,0.503,13.1,73.7,0.174,,Barclays Center,704702,17188
11,Los Angeles Lakers*,30.7,45,37,44,38,1.16,0.32,1.48,107.8,106.6,1.2,94.4,0.345,0.303,0.548,,0.512,13.9,27,0.239,,0.496,11.9,74.3,0.163,,STAPLES Center,778877,18997
12,Golden State Warriors*,25.3,47,35,44,38,0.89,0.42,1.32,106.4,105.5,0.9,94.5,0.255,0.239,0.545,,0.506,14,25.4,0.201,,0.486,12.4,75.5,0.211,,Oracle Arena,794320,19374
13,Atlanta Hawks*,27.1,44,38,42,40,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,,0.517,14.2,22.2,0.174,,0.496,14.2,73.6,0.181,,Philips Arena,620146,15126
14,Chicago Bulls*,28,45,37,42,40,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,,0.47,13.6,29.4,0.201,,0.477,13.2,73.6,0.206,,United Center,896944,21877
15,Utah Jazz,26.3,43,39,41,41,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,,0.492,13.8,28.8,0.214,,0.501,14,73.2,0.226,,EnergySolutions Arena,763915,18632
16,Boston Celtics*,29.1,41,40,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,,0.503,14.1,20.1,0.204,,0.482,14.2,73.3,0.216,,TD Garden,744960,18624
17,Dallas Mavericks,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,,0.506,13,21.8,0.192,,0.492,13.3,73.1,0.227,,American Airlines Center,821490,20036
18,Milwaukee Bucks*,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,,0.476,12.7,27.9,0.174,,0.492,14.4,71.3,0.201,,BMO Harris Bradley Center,616469,15036
19,Toronto Raptors,25.4,34,48,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,,0.488,13,25.5,0.216,,0.5,13.6,73.4,0.247,,Air Canada Centre,743936,18145
20,Minnesota Timberwolves,26.4,31,51,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,,0.473,13.8,27.4,0.226,,0.511,15,74,0.187,,Target Center,669956,16340
21,Washington Wizards,25.4,29,53,33,49,-2.54,-0.25,-2.78,100.2,103,-2.8,92.2,0.261,0.223,0.512,,0.475,14.2,24.6,0.191,,0.483,13.7,74.6,0.206,,Verizon Center,670070,16343
22,Portland Trail Blazers,24.4,33,49,32,50,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,,0.498,13.9,25.3,0.194,,0.512,12.5,73.3,0.189,,Rose Garden Arena,813012,19830
23,Philadelphia 76ers,25.2,34,48,31,51,-3.34,-0.17,-3.51,102,105.7,-3.7,91,0.2,0.209,0.509,,0.481,12.5,24.9,0.146,,0.495,13.7,73.4,0.2,,Wells Fargo Center,685412,16717
24,Detroit Pistons,25.3,29,53,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,,0.487,14.3,28.3,0.197,,0.505,13.1,73,0.209,,The Palace of Auburn Hills,606094,14685
25,New Orleans Hornets,24,27,55,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,,0.489,14,29.2,0.193,,0.52,13.1,74.4,0.208,,New Orleans Arena,565930,13803
26,Cleveland Cavaliers,24.1,24,58,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,,0.473,13,28.1,0.2,,0.523,14.4,72.6,0.225,,Quicken Loans Arena,663882,16192
27,Sacramento Kings,25.6,28,54,28,54,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,,0.491,13.4,26.6,0.208,,0.517,13.6,71,0.227,,Sleep Train Arena,563743,13750
28,Phoenix Suns,26.9,25,57,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,,0.477,14.3,27,0.174,,0.512,14.2,71.9,0.208,,US Airways Center,632913,15437
29,Orlando Magic,24.6,20,62,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,,0.485,13.7,25.4,0.149,,0.508,11.8,74.6,0.195,,Amway Center,722716,17627
30,Charlotte Bobcats,24.4,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,-10,91.5,0.31,0.21,0.507,,0.46,13.2,25.7,0.233,,0.524,13.2,71.1,0.197,,Time Warner Cable Arena,628293,15324
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,San Antonio Spurs*,28.9,62,20,61,21,7.72,0.28,8,110.5,102.4,8.1,95,0.24,0.257,0.571,,0.537,13.5,22.7,0.188,,0.482,12.8,76.4,0.184,,AT&T Center,755031,18415
2,Los Angeles Clippers*,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,,0.526,12.7,25,0.258,,0.484,13.8,72.5,0.222,,STAPLES Center,787692,19212
3,Oklahoma City Thunder*,26.2,59,23,58,24,6.34,0.32,6.66,110.5,103.9,6.6,95.4,0.303,0.271,0.566,,0.52,14,26.5,0.244,,0.488,13.9,75.6,0.221,,Chesapeake Energy Arena,746323,18203
4,Miami Heat*,30.6,54,28,54,28,4.76,-0.61,4.15,110.9,105.8,5.1,91.2,0.3,0.292,0.59,,0.554,14.6,20.6,0.228,,0.511,15.8,73,0.212,,AmericanAirlines Arena,811036,19781
5,Golden State Warriors*,26.3,51,31,54,28,4.8,0.34,5.15,107.5,102.6,4.9,96.2,0.247,0.291,0.55,,0.517,13.8,25.1,0.186,,0.477,13.6,76.3,0.224,,Oracle Arena,803436,19596
6,Indiana Pacers*,27.2,56,26,54,28,4.4,-0.77,3.63,104.1,99.3,4.8,92.5,0.29,0.235,0.535,,0.49,14.3,24.9,0.226,,0.46,12.9,76.8,0.197,,Bankers Life Fieldhouse,717542,17501
7,Houston Rockets*,25.4,54,28,53,29,4.56,0.5,5.06,111,106.3,4.7,96.3,0.386,0.33,0.571,,0.531,14.6,27.4,0.275,,0.489,12.5,74.1,0.193,,Toyota Center,743082,18124
8,Portland Trail Blazers*,25.8,54,28,52,30,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,,0.504,12.4,28,0.22,,0.488,11,74.7,0.194,,Moda Center,809612,19747
9,Toronto Raptors*,25.6,48,34,50,32,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,,0.498,13.2,27.2,0.239,,0.493,14.1,74.9,0.237,,Air Canada Centre,748339,18252
10,Phoenix Suns,26.2,48,34,48,34,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,,0.519,14,26.4,0.222,,0.496,13.9,73.7,0.237,,US Airways Center,650739,15872
11,Minnesota Timberwolves,26.3,40,42,48,34,2.67,0.43,3.1,108.9,106.2,2.7,97.3,0.321,0.245,0.535,,0.486,12.2,27.4,0.249,,0.518,14.8,74.4,0.177,,Target Center,597157,14565
12,Dallas Mavericks*,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,,0.526,12.7,24.6,0.201,,0.515,14.8,72.7,0.229,,American Airlines Center,817982,19951
13,Chicago Bulls*,28.6,48,34,47,35,1.85,-0.66,1.2,102.5,100.5,2,90.2,0.29,0.222,0.518,,0.471,14.2,27.2,0.226,,0.471,13.7,75.4,0.189,,United Center,890370,21716
14,Memphis Grizzlies*,28.5,50,32,46,36,1.57,0.61,2.18,106.3,104.6,1.7,89.9,0.248,0.171,0.529,,0.494,13.1,28.3,0.184,,0.497,13.8,75.7,0.199,,FedEx Forum,685458,16718
15,Washington Wizards*,26.3,44,38,45,37,1.27,-0.79,0.48,106,104.6,1.4,93.2,0.248,0.246,0.538,,0.506,13.6,25.2,0.181,,0.504,15,75.7,0.22,,Verizon Center,698068,17026
16,Charlotte Bobcats*,25.5,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,,0.481,11.7,21.9,0.219,,0.491,12.6,77.6,0.183,,Time Warner Cable Arena,636268,15519
17,Atlanta Hawks*,27.5,38,44,40,42,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,,0.515,14.3,21,0.208,,0.51,14,74.4,0.196,,Philips Arena,587927,14231
18,New York Knicks,28.3,37,45,39,43,-0.79,-0.61,-1.4,108.3,109.1,-0.8,90.3,0.248,0.302,0.541,,0.505,12.5,25.1,0.189,,0.514,14,74.3,0.245,,Madison Square Garden (IV),812292,19812
19,Brooklyn Nets*,30,44,38,38,44,-1,-0.58,-1.58,106.7,107.7,-1,91.4,0.313,0.301,0.555,,0.514,14.1,21.7,0.236,,0.509,14.9,72.3,0.236,,Barclays Center,707331,17252
20,Denver Nuggets,26,36,46,35,47,-2.15,0.75,-1.4,106,108.2,-2.2,98.1,0.306,0.278,0.536,,0.497,14,27.5,0.222,,0.5,12.8,74.5,0.233,,Pepsi Center,692898,16900
